Instruction,Power
sub,-1
mov,3
ldr,-4
sub,-1
ldr,-3
sub,0
mov,-1
mov,22
bl,-16
push,-2
add,3
sub,-5
str,2
str,0
str,-2
mov,2
str,1
ldr,-3
cmp,17
bne,-14
ldr,0
ldr,0
str,0
ldr,-4
mov,5
str,-1
ldr,-4
mov,3
add,2
pop,8
bx,-8
sub,-2
sub,-3
mov,2
str,-1
mov,-2
mov,22
bl,-18
push,1
add,1
sub,-4
str,2
str,-1
str,2
str,0
ldr,-3
cmp,17
bne,-14
ldr,1
cmp,14
mov,2
str,1
ldr,-2
str,2
ldr,-2
ldr,1
ldr,-2
ldr,19
bl,-18
push,1
add,1
sub,-4
str,2
str,0
str,2
str,-1
ldr,-3
cmp,17
bne,-13
ldr,-3
sub,0
cmp,-3
and,-6
cmp,18
bne,-12
ldr,-2
lsr,-4
and,0
cmp,-1
and,-7
cmp,17
bne,-20
ldr,-4
cmp,16
beq,-13
ldr,-3
cmp,15
beq,-13
ldr,-2
cmp,15
beq,-13
ldr,-3
cmp,15
beq,-14
ldr,0
ldr,2
str,-1
ldr,-1
lsr,-2
add,2
ldr,1
str,0
ldr,-3
ldr,19
bl,-18
push,1
add,0
sub,-3
str,2
str,1
ldr,-3
cmp,17
bne,-14
ldr,-4
cmp,16
beq,-14
ldr,0
add,-3
mov,3
ldr,-4
mov,21
bl,-17
push,-3
bne,-18
bne,-16
push,14
ldr,1
ldr,-2
ldr,2
ldr,3
add,-6
str,1
str,-2
str,2
str,5
pop,0
pop,15
b,-19
mov,-1
mov,4
sub,0
pop,-3
str,3
ldr,-3
cmp,16
beq,-13
ldr,0
cmp,14
ldr,0
ldr,0
ldr,-4
mov,21
bl,-17
push,-3
bne,-18
bne,-16
push,14
b,-14
pop,0
pop,-1
ldr,-1
ldr,1
ldr,-4
mov,21
bl,-17
push,0
add,2
sub,-4
str,2
str,-1
str,6
ldr,-6
ldr,0
str,-2
mov,5
ldr,-4
and,-1
cmp,17
bne,-13
ldr,-3
and,-1
cmp,17
bne,-13
ldr,-1
lsr,1
str,-4
mov,2
str,17
b,-17
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
b,-22
ldr,-6
ldr,2
ldr,-3
mov,16
beq,-14
sub,1
pop,0
ldr,-1
ldr,0
ldr,-2
ldr,19
bl,-18
push,1
add,1
sub,-4
str,2
str,0
str,2
str,6
ldr,-8
ldr,0
str,-2
mov,3
ldr,0
str,-3
mov,2
str,1
ldr,0
ldr,-1
ldr,18
bl,-17
push,-3
bne,-18
bne,-16
push,14
b,-14
pop,0
pop,-1
ldr,0
ldr,-1
ldr,18
bl,-17
push,0
add,2
sub,-4
str,2
str,-1
str,6
ldr,-6
ldr,0
str,-2
mov,5
ldr,-4
and,-1
cmp,17
bne,-13
ldr,-3
and,-1
cmp,17
bne,-13
ldr,-1
lsr,1
str,-4
mov,2
str,17
b,-17
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
ldr,-1
lsl,2
ldr,-4
add,1
ldr,2
ldr,-1
lsl,1
ldr,-4
add,-1
mov,22
bl,-18
push,1
add,0
sub,-3
str,3
ldr,0
lsr,7
bic,0
bic,-7
ldr,-1
lsl,9
bic,-1
bic,-9
orr,1
str,-2
mov,1
ldr,19
bl,-16
push,-2
add,2
sub,-4
str,2
str,0
ldr,2
ldr,-2
ror,-6
mov,3
add,2
pop,8
bx,-13
mov,0
mov,4
sub,0
pop,-4
mov,1
str,3
ldr,-2
add,1
str,0
ldr,3
ldr,-5
cmp,20
b,-22
ldr,-6
ldr,2
ldr,-3
mov,16
beq,-14
sub,1
pop,0
ldr,-3
cmp,15
beq,-13
ldr,1
ldr,-2
str,1
ldr,-3
ldr,3
ldr,-1
lsr,4
and,4
ldr,-8
add,2
ldr,3
and,-9
eor,5
ldr,-1
lsr,4
and,4
ldr,-7
add,1
ldr,3
and,-9
eor,5
ldr,3
and,-7
mov,11
ldr,-6
ldr,4
and,-10
eor,5
ldr,0
lsr,3
and,0
ldr,-4
add,2
ldr,2
and,-8
eor,10
ldr,-6
ldr,1
ldr,0
ldr,-3
add,-3
eor,2
str,4
ldr,-3
add,0
ldr,3
ldr,-3
add,0
ldr,3
ldr,-2
add,-4
eor,2
str,4
ldr,-3
add,0
ldr,3
ldr,-2
add,-1
ldr,3
ldr,-2
add,-4
eor,2
str,4
ldr,-2
add,-1
ldr,3
ldr,-2
add,-1
ldr,3
ldr,-1
add,-5
eor,2
str,3
ldr,-2
add,1
str,1
ldr,0
cmp,16
beq,-13
ldr,1
ldr,-2
str,1
ldr,-3
add,0
ldr,3
ldr,0
lsr,3
and,2
ldr,-6
add,2
ldr,3
and,-9
eor,5
ldr,-1
lsr,4
and,3
ldr,-6
add,1
ldr,3
and,-9
eor,5
ldr,-1
lsr,4
and,-7
mov,9
ldr,-4
ldr,4
and,-10
eor,5
ldr,3
and,-1
ldr,-3
add,2
ldr,1
and,-2
ldr,-2
add,-4
eor,2
str,4
ldr,-2
add,-1
ldr,3
ldr,-2
add,-1
ldr,3
ldr,-1
add,-5
eor,2
str,4
ldr,-2
add,-1
ldr,3
ldr,-1
add,-2
ldr,3
ldr,-1
add,-5
eor,2
str,4
ldr,-1
add,-2
ldr,3
ldr,-1
add,-2
ldr,3
ldr,0
add,-6
eor,2
str,4
ldr,-3
add,2
str,16
b,-15
ldr,1
ldr,-2
str,1
ldr,-3
ldr,3
ldr,-1
lsr,4
and,4
ldr,-8
add,2
ldr,3
and,-9
eor,5
ldr,-1
lsr,4
and,4
ldr,-7
add,1
ldr,3
and,-9
eor,5
ldr,3
and,-7
mov,11
ldr,-6
ldr,4
and,-10
eor,5
ldr,0
lsr,3
and,0
ldr,-4
add,2
ldr,2
and,-8
eor,10
ldr,-6
ldr,1
ldr,0
ldr,-3
add,-3
eor,2
str,4
ldr,-3
add,0
ldr,3
ldr,-3
add,0
ldr,3
ldr,-2
add,-4
eor,2
str,4
ldr,-3
add,0
ldr,3
ldr,-2
add,-1
ldr,3
ldr,-2
add,-4
eor,2
str,4
ldr,-2
add,-1
ldr,3
ldr,-2
add,-1
ldr,3
ldr,-1
add,-5
eor,2
str,3
ldr,-2
add,1
str,1
ldr,0
cmp,16
beq,-13
ldr,1
ldr,-2
str,1
ldr,-3
add,0
ldr,3
ldr,0
lsr,3
and,2
ldr,-6
add,2
ldr,3
and,-9
eor,5
ldr,-1
lsr,4
and,3
ldr,-6
add,1
ldr,3
and,-9
eor,5
ldr,-1
lsr,4
and,-7
mov,9
ldr,-4
ldr,4
and,-10
eor,5
ldr,3
and,-1
ldr,-3
